model_name,params,rmse,mae,pearson_r,r2
LinearRegression,,4.8557,3.6927,0.0934,-19.6985
Ridge,alpha=1.0,1.4761,1.1551,0.1108,-0.9129
Lasso,alpha=0.001,1.0232,0.7629,0.2972,0.0808
ElasticNet,alpha=0.001;l1_ratio=0.5,1.0365,0.7772,0.2887,0.0569
RandomForest,n_estimators=300,1.0031,0.7507,0.3546,0.1168
GradientBoosting,n_estimators=300,1.0059,0.7464,0.3491,0.1118
XGBoost,n_estimators=400;max_depth=6;learning_rate=0.05,1.0238,0.7478,0.3207,0.0799
SVR,C=1.0;kernel=rbf,1.0189,0.7371,0.3,0.0886
KNN,n_neighbors=5,1.1792,0.8396,0.2338,-0.2208
GNN_GraphDTA,hidden_dim=128;num_layers=3;lr=0.001;epochs=30,1.2875,0.9594,0.2606,-0.5257
